id_info_adicional,numero_serie,licencia_conductor,color,seguro_empresa,poliza,id_sector_pertenencia,id_vehiculo
1,000000000000000,B1,Blanco,A Designar,PENDIENTE,1,1
2,000000000000000,B1,Blanco,A Designar,PENDIENTE,1,2
3,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,3
4,000000000000000,B1,Blanco,A Designar,PENDIENTE,1,4
5,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,5
6,000000000000000,D1,Blanco,A Designar,PENDIENTE,1,6
7,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,7
8,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,8
9,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,9
10,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,10
11,000000000000000,B1,Blanco,A Designar,PENDIENTE,1,11
12,000000000000000,B2,Blanco,A Designar,PENDIENTE,1,12
13,000000000000000,B2,Blanco,A Designar,PENDIENTE,1,13
14,000000000000000,B1,Blanco,A Designar,PENDIENTE,1,14
15,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,15
16,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,16
17,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,17
18,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,18
19,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,19
20,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,20
21,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,21
22,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,22
23,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,23
24,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,24
25,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,25
26,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,26
27,000000000000000,B1,Blanco,A Designar,PENDIENTE,1,27
28,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,28
29,000000000000000,B1,Blanco,A Designar,PENDIENTE,1,29
30,000000000000000,B1,Blanco,A Designar,PENDIENTE,1,30
31,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,31
32,000000000000000,B1,Blanco,A Designar,PENDIENTE,1,32
33,000000000000000,B1,Blanco,A Designar,PENDIENTE,1,33
34,000000000000000,B1,Blanco,A Designar,PENDIENTE,1,34
35,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,35
36,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,36
37,000000000000000,B1,Blanco,A Designar,PENDIENTE,1,37
38,000000000000000,D1,Blanco,A Designar,PENDIENTE,1,38
39,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,39
40,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,40
41,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,41
42,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,42
43,000000000000000,B1,Blanco,A Designar,PENDIENTE,1,43
44,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,44
45,000000000000000,D1,Blanco,A Designar,PENDIENTE,1,45
46,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,46
47,000000000000000,B1,Blanco,A Designar,PENDIENTE,1,47
48,000000000000000,B2,Blanco,A Designar,PENDIENTE,1,48
49,000000000000000,B2,Blanco,A Designar,PENDIENTE,1,49
50,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,50
51,000000000000000,B1,Blanco,A Designar,PENDIENTE,1,51
52,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,52
53,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,53
54,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,54
55,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,55
56,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,56
57,000000000000000,B1,Blanco,A Designar,PENDIENTE,1,57
58,000000000000000,E1,Blanco,A Designar,PENDIENTE,1,58
59,000000000000000,B2,Blanco,A Designar,PENDIENTE,1,59
60,000000000000000,D1,Blanco,A Designar,PENDIENTE,1,60
61,000000000000000,B1,Blanco,A Designar,PENDIENTE,1,61
