id_vehiculo,codigo,nombre,marca,modelo,anio,status,uso_combustible,uso_km,tipo_vehiculo,delegacion
1,1,sin info,FIAT,STRADA,2020,disponible,0.0,0.0,TRASLADO,Centro
2,2,sin info,IVECO,DAILY,2021,disponible,0.0,0.0,PLAYO,Norte
3,3,sin info,NEW HOLLAND,0,2021,disponible,0.0,0.0,RETRO A ORUGAS,Sur
4,4,sin info,RENAULT,ALASKAN,2021,disponible,0.0,0.0,TRASLADO,Este
5,5,sin info,IVECO,17220,2021,disponible,0.0,0.0,VOLCADOR,Oeste
6,6,sin info,M. BENZ,0,2022,disponible,0.0,0.0,COLECTIVO,Centro
7,7,sin info,IVECO,DAILY,2022,disponible,0.0,0.0,Hidrogrúa,Norte
8,8,sin info,NEW HOLLAND,170,2022,disponible,0.0,0.0,MOTONIVELADORA,Sur
9,9,sin info,NEW HOLLAND,0,2022,disponible,0.0,0.0,PALA / RETRO,Este
10,10,sin info,PAUNY,230ª,2022,disponible,0.0,0.0,TRACTOR,Oeste
11,11,sin info,VW,AMAROK,2022,disponible,0.0,0.0,TRASLADO,Centro
12,12,sin info,FORD,TRANSIT,2023,disponible,0.0,0.0,AMBULANCIA,Norte
13,13,sin info,M. BENZ,SPRINTER,2023,disponible,0.0,0.0,AMBULANCIA,Sur
14,14,sin info,FORD,Ranger,2024,disponible,0.0,0.0,4X4,Este
15,15,sin info,FORD,F-600,1960,disponible,0.0,0.0,PLAYO,Oeste
16,16,sin info,MICHIGAN,55,1965,disponible,0.0,0.0,PALA FRONTAL,Centro
17,17,sin info,DODGE,D-500,1965,disponible,0.0,0.0,RIEGO,Norte
18,18,sin info,FORD,F-600,1969,disponible,0.0,0.0,VOLCADOR,Sur
19,19,sin info,FIAT,NORTON,1970,disponible,0.0,0.0,PALA FRONTAL,Este
20,20,sin info,FIAT,780,1970,disponible,0.0,0.0,TRACTOR,Oeste
21,21,sin info,FIAT,400 E,1974,disponible,0.0,0.0,TRACTOR,Centro
22,22,sin info,FORD,F-6000,1978,disponible,0.0,0.0,VOLCADOR,Norte
23,23,sin info,M. BENZ,1215,1979,disponible,0.0,0.0,RIEGO,Sur
24,24,sin info,FORD,F-6000,1979,disponible,0.0,0.0,VOLCADOR,Este
25,25,sin info,FORD,F-7000,1980,disponible,0.0,0.0,RIEGO,Oeste
26,26,sin info,MASSEY FERGUSON,1075,1980,disponible,0.0,0.0,TRACTOR,Centro
27,27,sin info,DODGE,D-100,1980,disponible,0.0,0.0,TRASLADO,Norte
28,28,sin info,FORD,7000,1980,disponible,0.0,0.0,VOLCADOR,Sur
29,29,sin info,FORD/JEEP,F-100,1981,disponible,0.0,0.0,4X4,Este
30,30,sin info,FORD,F-100,1983,disponible,0.0,0.0,TRASLADO,Oeste
31,31,sin info,M. BENZ,1114,1985,disponible,0.0,0.0,VOLCADOR,Centro
32,32,sin info,FORD,F-100,1987,disponible,0.0,0.0,TRASLADO,Norte
33,33,sin info,FORD,F-100,1988,disponible,0.0,0.0,TRASLADO,Sur
34,34,sin info,FORD,F-100,1988,disponible,0.0,0.0,TRASLADO,Este
35,35,sin info,M. BENZ,1114,1990,disponible,0.0,0.0,RIEGO,Oeste
36,36,sin info,FIAT,sin info,1990,disponible,0.0,0.0,TRACTOR,Centro
37,37,sin info,FORD,F-100,1992,disponible,0.0,0.0,TRASLADO,Norte
38,38,sin info,RENAULT,TRAFIC,1993,disponible,0.0,0.0,MINIBUS,Sur
39,39,sin info,DRESSER,0,1994,disponible,0.0,0.0,MOTONIVELADORA,Este
40,40,sin info,BELAVTOMAZ,200,1994,disponible,0.0,0.0,VOLCADOR,Oeste
41,41,sin info,FORD,14000,1994,disponible,0.0,0.0,VOLCADOR,Centro
42,42,sin info,FORD,14000,1995,disponible,0.0,0.0,Hidrogrúa,Norte
43,43,sin info,FORD,F-100,1995,disponible,0.0,0.0,TRASLADO,Sur
44,44,sin info,FORD,14000,1996,disponible,0.0,0.0,COMPACTADOR RESIDUOS,Este
45,45,sin info,M. BENZ,SPRINTER,1997,disponible,0.0,0.0,MINIBUS,Oeste
46,46,sin info,CHAMPION,0,1997,disponible,0.0,0.0,MOTONIVELADORA,Centro
47,47,sin info,TOYOTA,HILUX,1998,disponible,0.0,0.0,4X4,Norte
48,48,sin info,FIAT,DUCATO,1998,disponible,0.0,0.0,AMBULANCIA,Sur
49,49,sin info,FIAT,DUCATO,1998,disponible,0.0,0.0,AMBULANCIA,Este
50,50,sin info,FORD,14000,1998,disponible,0.0,0.0,VOLCADOR,Oeste
51,51,sin info,FIAT,DUCATO,1999,disponible,0.0,0.0,TRASLADO,Centro
52,52,sin info,IVECO,17220,1999,disponible,0.0,0.0,VOLCADOR,Norte
53,53,sin info,M. BENZ,1215,1999,disponible,0.0,0.0,VOLCADOR,Sur
54,54,sin info,M. BENZ,1215,1999,disponible,0.0,0.0,VOLCADOR,Este
55,55,sin info,FIAT,170,2000,disponible,0.0,0.0,MOTONIVELADORA,Oeste
56,56,sin info,FERMEC/JCB,0,2000,disponible,0.0,0.0,PALA / RETRO,Centro
57,57,sin info,FORD,Ranger,2001,disponible,0.0,0.0,TRASLADO,Norte
58,58,sin info,VW,1722,2001,disponible,0.0,0.0,VOLCADOR,Sur
59,59,sin info,FIAT,DUCATO,2005,disponible,0.0,0.0,AMBULANCIA,Este
60,60,sin info,M. BENZ,0,2005,disponible,0.0,0.0,COLECTIVO,Oeste
61,61,sin info,VW,BORA,2005,disponible,0.0,0.0,TRASLADO,Centro
